SourceField,namespace,record,field,task.include,issueTrackUser.include,project.include,pulseissue.include
Issuetype,Dev_IssueTracking,Task,Type,0,0,0,1
Issueid,Dev_IssueTracking,Task,ID,0,0,0,1
Summary,Dev_IssueTracking,Task,Description,0,0,0,1
Assignee,Dev_IssueTracking,IssueTrackUser,Username,0,1,0,0
Status,Dev_IssueTracking,Task,TicketState,0,0,0,0
Resolution,Dev_IssueTracking,,,1,0,0,0
Created,Dev_IssueTracking,Task,Started,0,0,0,0
Updated,Dev_IssueTracking,Task,Finished,0,0,0,0
Projectname,Dev_IssueTracking,Project,Name,0,0,1,0
Projectdescription,Dev_IssueTracking,Project,Description,1,0,1,0
Issuekey,Dev_IssueTracking,,,,,0,1
Parentid,Dev_IssueTracking,,,,,0,0
Reporter,Dev_IssueTracking,,,,,0,0
Priority,Dev_IssueTracking,,,,,0,0
DueDate,Dev_IssueTracking,,,,,0,0
FixVersions,Dev_IssueTracking,,,,,0,0
Sprint,Dev_IssueTracking,,,,,0,0
CustomfieldVerifier,Dev_IssueTracking,,,,,0,0
Projectkey,Dev_IssueTracking,Project,Key,,,1,1
Projecttype,Dev_IssueTracking,Project,Type,,,1,0
Projectlead,Dev_IssueTracking,Project,Lead,,,1,0
Projecturl,Dev_IssueTracking,Project,Url,,,1,0
